,date,benchmark_cum_return_pct,benchmark_return_change_pct,benchmark_cash,benchmark_shares,target_cum_return_pct,target_return_change_pct,target_cash,target_shares,target_performance_pct
1980,2005-10-27,4407.4002531808455,-137.62806305835866,-20000.002005958453,65572.76953125,1517375.9763304642,-44365.736196170656,0.48506689071655273,21138015.96875,-44228.10813311229
1981,2005-10-28,4327.541800079517,-79.85845310132831,-20000.002005958453,65572.76953125,1491632.8322027624,-25743.144127701817,0.48506689071655273,21138015.96875,-25663.28567460049
1982,2005-10-31,4592.6039834449075,265.06218336539007,-20000.002005958453,65572.76953125,1577078.1886326019,85445.35642983938,0.48506689071655273,21138015.96875,85180.29424647399
1983,2005-11-01,4584.957542789869,-7.646440655038589,-20000.002005958453,65572.76953125,1574613.2845904857,-2464.904042116177,0.48506689071655273,21138015.96875,-2457.2576014611386
1984,2005-11-02,4793.099283563657,208.1417407737888,-20000.002005958453,65572.76953125,1641709.786258652,67096.50166816646,0.48506689071655273,21138015.96875,66888.35992739267
1985,2005-11-03,4954.515180224868,161.41589666121092,-20000.002005958453,65572.76953125,1693743.760507806,52033.974249153835,0.48506689071655273,21138015.96875,51872.558352492626
1986,2005-11-04,4895.045924081587,-59.46925614328151,-20000.002005958453,65572.76953125,1674573.271065427,-19170.48944237904,0.48506689071655273,21138015.96875,-19111.020186235757
1987,2005-11-07,4816.886461438813,-78.15946264277329,-20000.002005958453,65572.76953125,1649377.8129314757,-25195.45813395125,0.48506689071655273,21138015.96875,-25117.29867130848
1988,2005-11-08,4788.851479553424,-28.034981885389954,-20000.002005958453,65572.76953125,1640340.4655841962,-9037.347347279501,0.48506689071655273,21138015.96875,-9009.312365394111
1989,2005-11-09,4806.692518687485,17.841039134061987,-20000.002005958453,65572.76953125,1646091.6969689736,5751.231384777566,0.48506689071655273,21138015.96875,5733.390345643504
1990,2005-11-10,4897.594737633267,90.9022189457815,-20000.002005958453,65572.76953125,1675394.9057461324,29303.20877715858,0.48506689071655273,21138015.96875,29212.3065582128
1991,2005-11-11,4928.179188798033,30.584451164765625,-20000.002005958453,65572.76953125,1685254.0991542765,9859.193408144347,0.48506689071655273,21138015.96875,9828.608956979582
1992,2005-11-14,4920.532748142993,-7.646440655039299,-20000.002005958453,65572.76953125,1682789.1951121609,-2464.9040421158134,0.48506689071655273,21138015.96875,-2457.257601460774
1993,2005-11-15,4991.045770130728,70.5130219877347,-20000.002005958453,65572.76953125,1705519.7492039963,22730.554091835438,0.48506689071655273,21138015.96875,22660.041069847706
1994,2005-11-16,5217.878373131704,226.832603000976,-20000.002005958453,65572.76953125,1778641.4309438947,73121.68173989849,0.48506689071655273,21138015.96875,72894.84913689751
1995,2005-11-17,5181.347127498149,-36.53124563355448,-20000.002005958453,65572.76953125,1766865.2308675447,-11776.200076350142,0.48506689071655273,21138015.96875,-11739.668830716588
1996,2005-11-18,5184.745764142954,3.398636644804043,-20000.002005958453,65572.76953125,1767960.8142352048,1095.5833676602197,0.48506689071655273,21138015.96875,1092.1847310154155
1997,2005-11-21,5218.727540497134,33.98177635418023,-20000.002005958453,65572.76953125,1778915.1682506902,10954.354015485296,0.48506689071655273,21138015.96875,10920.372239131117
1998,2005-11-22,5351.25863217983,132.53109168269575,-20000.002005958453,65572.76953125,1821637.84646561,42722.67821491987,0.48506689071655273,21138015.96875,42590.14712323718
