,date,benchmark_cum_return_pct,benchmark_return_change_pct,benchmark_cash,benchmark_shares,target_cum_return_pct,target_return_change_pct,target_cash,target_shares,target_performance_pct
0,1997-12-12,0.0,0.0,-9999.99988357657,1733.590209960938,0.0,0.0,10500.000005891257,-43.3397560119629,0.0
1,1997-12-15,-0.9140657262990861,-0.9140657262990861,-9999.99988357657,1733.590209960938,0.02285164355975212,0.02285164355975212,11000.00000830564,-86.8784980773926,0.9369173698588383
2,1997-12-16,3.3820828602218898,4.296148586520976,-9999.99988357657,1733.590209960938,-0.19244891214131712,-0.21530055570106926,11500.000000604445,-129.4975471496582,-4.5114491422220455
3,1997-12-17,-1.645328748664797,-5.027411608886687,-9999.99988357657,1733.590209960938,0.18309397232958874,0.3755428844709059,11999.999995024054,-173.1968002319336,5.402954493357592
4,1997-12-18,-8.592310125237091,-6.946981376572293,-9999.99988357657,1733.590209960938,0.8771420603124898,0.6940480879829011,12499.99999414992,-218.4820823669434,7.641029464555195
5,1997-12-19,-11.791581514111567,-3.1992713888744766,-9999.99988357657,1733.590209960938,1.2803419166951606,0.403199856382671,11999.999988131462,-172.4270172119141,3.6024712452571475
6,1997-12-22,-14.259589880620368,-2.4680083665088017,-9999.99988357657,1733.590209960938,1.525815781844849,0.24547386514968822,11499.99999088475,-125.75999832153319,2.71348223165849
7,1997-12-23,-19.652650336592085,-5.393060455971718,-9999.99988357657,1733.590209960938,1.9170451746602886,0.3912293928154396,10999.999957923827,-77.69746017456049,5.784289848787158
8,1997-12-24,-26.05117577843899,-6.398525441846903,-9999.99988357657,1733.590209960938,2.203819331881623,0.28677415722133426,10499.999937020983,-27.86699295043939,6.6852995990682365
9,1997-12-26,-23.40036032428983,2.650815454149158,-9999.99988357657,1733.590209960938,2.161208026573695,-0.042611305307927935,9999.999947273454,21.21550369262701,-2.6934267594570858
10,1997-12-29,-15.265072202397715,8.135288121892117,-9999.99988357657,1733.590209960938,2.2607670380034506,0.09955901142975586,9499.99992561357,68.13652420043951,-8.035729110462361
11,1997-12-30,-9.50639757114528,5.7586746312524335,-9999.99988357657,1733.590209960938,2.4871042236286485,0.22633718562519792,8999.999934146776,113.63910675048831,-5.532337445627236
12,1997-12-31,-10.968923615876703,-1.4625260447314214,-9999.99988357657,1733.590209960938,2.3912336785355546,-0.09587054509309391,8499.999908233285,159.4937438964844,1.3666554996383276
13,1998-01-02,-8.226678614054217,2.7422450018224853,-9999.99988357657,1733.590209960938,2.643525589274377,0.2522919107388225,7999.999907778962,204.692684173584,-2.4899530910836627
14,1998-01-05,-9.3235731476028,-1.0968945335485842,-9999.99988357657,1733.590209960938,2.514010265943725,-0.12951532333065202,7499.99992739544,250.15163803100592,0.9673792102179322
15,1998-01-06,-8.226678614054217,1.0968945335485842,-9999.99988357657,1733.590209960938,2.6722887853186146,0.15827851937488951,6999.999926941116,295.3505783081055,-0.9386160141736946
16,1998-01-07,-10.511879892922625,-2.285201278868408,-9999.99988357657,1733.590209960938,2.282960485225158,-0.3893283000934569,6499.999955311226,341.09461212158214,1.895872978774951
17,1998-01-08,-9.140766059962408,1.3711138329602177,-9999.99988357657,1733.590209960938,2.5527358338231716,0.2697753485980139,5999.999983565329,386.5100250244142,-1.1013384843622038
18,1998-01-09,-14.259589880620368,-5.118823820657961,-9999.99988357657,1733.590209960938,1.4114762623203205,-1.141259571502851,5499.999986318617,433.1770439147951,3.97756424915511
19,1998-01-12,-10.603292104693866,3.656297775926504,-9999.99988357657,1733.590209960938,2.3250857327075938,0.913609470387273,4999.999996121719,478.9431571960451,-2.7426883055392306
20,1998-01-13,-6.76416990522488,3.8391221994689846,-9999.99988357657,1733.590209960938,3.3857294488528167,1.060643716145223,3999.9999485233097,568.65686416626,-2.7784784833237617
21,1998-01-14,-8.226678614054217,-1.4625087088293367,-9999.99988357657,1733.590209960938,2.905993232444962,-0.4797362164078545,2999.999905415695,659.0547485351565,0.9827724924214822
22,1998-01-15,-6.489933269911162,1.736745344143055,-9999.99988357657,1733.590209960938,3.566247218075441,0.6602539856304792,1999.9999420175454,748.641311645508,-1.0764913585125757
23,1998-01-16,-2.1937846833901493,4.296148586521013,-9999.99988357657,1733.590209960938,5.421515280029925,1.8552680619544841,999.999976771546,836.2821464538576,-2.4408805245665284
24,1998-01-20,1.5539426402096796,3.747727323599829,-9999.99988357657,1733.590209960938,7.229415251990649,1.807899971960724,-8.304942184622632e-06,922.2933769226076,-1.939827351639105
25,1998-01-21,0.36563589488989234,-1.1883067453197873,-9999.99988357657,1733.590209960938,6.597220421063812,-0.6321948309268368,-8.304942184622632e-06,922.2933769226076,0.5561119143929505
26,1998-01-22,2.742232049627419,2.3765961547375265,-9999.99988357657,1733.590209960938,7.8616016344207855,1.264381213356973,-8.304942184622632e-06,922.2933769226076,-1.1122149413805535
27,1998-01-23,2.193793450804187,-0.5484385988232316,-9999.99988357657,1733.590209960938,7.5698249016975385,-0.2917767327232465,-8.304942184622632e-06,922.2933769226076,0.2566618660999852
28,1998-01-26,7.31261727146215,5.118823820657963,-9999.99988357657,1733.590209960938,10.293108224538228,2.7232833228406887,-8.304942184622632e-06,922.2933769226076,-2.3955404978172745
29,1998-01-27,12.340046216250958,5.027428944788808,-9999.99988357657,1733.590209960938,12.967768240547557,2.6746600160093283,-8.304942184622632e-06,922.2933769226076,-2.3527689287794793
30,1998-01-28,17.915913759863034,5.575867543612076,-9999.99988357657,1733.590209960938,15.934204989280135,2.966436748732579,-8.304942184622632e-06,922.2933769226076,-2.609430794879497
