,date,benchmark_cum_return_pct,benchmark_return_change_pct,benchmark_cash,benchmark_shares,target_cum_return_pct,target_return_change_pct,target_cash,target_shares,target_performance_pct
3296,2011-01-20,511.8350195473893,0.5025830136933251,-10000.000131966113,533.001403808594,704819.9035750716,497.7006662632448,1.0736804315820336,527823.556640625,497.1980832495515
3297,2011-01-21,510.46433181729896,-1.370687730090392,-10000.000131966113,533.001403808594,703462.5314038723,-1357.372171199404,1.0736804315820336,527823.556640625,-1356.0014834693134
3298,2011-01-24,529.3339246756608,18.869592858361894,-10000.000131966113,533.001403808594,722148.8154243131,18686.28402044087,1.0736804315820336,527823.556640625,18667.41442758251
3299,2011-01-25,537.6036226762285,8.269698000567693,-10000.000131966113,533.001403808594,730338.1773656016,8189.361941288553,1.0736804315820336,527823.556640625,8181.092243287985
3300,2011-01-26,535.7760194927232,-1.8276031835053885,-10000.000131966113,533.001403808594,728528.3284504722,-1809.8489151294416,1.0736804315820336,527823.556640625,-1808.0213119459363
3301,2011-01-27,535.9131554239092,0.13713593118600542,-10000.000131966113,533.001403808594,728664.1321733603,135.80372288806757,5386147.931621334,488813.193359375,135.66658695688156
3302,2011-01-28,527.414991701613,-8.498163722296148,-10000.000131966113,533.001403808594,720870.5020982716,-7793.63007508864,5386147.931621333,488813.193359375,-7785.131911366344
3303,2011-01-31,540.162199974959,12.747208273345922,-10000.000131966113,533.001403808594,732560.9095493353,11690.407451063584,5386147.931621333,488813.193359375,11677.660242790238
3304,2011-02-01,547.2896759671647,7.127475992205845,-10000.000131966113,533.001403808594,739097.4857674225,6536.576218087248,5386147.931621332,488813.193359375,6529.448742095042
3305,2011-02-02,546.1017863985246,-1.187889568640177,-10000.000131966113,533.001403808594,738008.0775796463,-1089.40818777628,11818946.848968286,442858.458984375,-1088.22029820764
3306,2011-02-03,547.1526146561755,1.0508282576508599,-10000.000131966113,533.001403808594,738881.1845580833,873.1069784370447,22255575.100634266,368405.966796875,872.0561501793939
