,date,benchmark_cum_return_pct,benchmark_return_change_pct,benchmark_cash,benchmark_shares,target_cum_return_pct,target_return_change_pct,target_cash,target_shares,target_performance_pct
3933,2013-08-02,119.94441119360462,1.036263496376999,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,-1.036263496376999
3934,2013-08-05,117.61283275296617,-2.3315784406384488,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,2.3315784406384488
3935,2013-08-06,114.89264107497668,-2.720191677989492,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,2.720191677989492
3936,2013-08-07,115.28123988611804,0.38859881114137185,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,-0.38859881114137185
3937,2013-08-08,115.15170694907093,-0.12953293704711655,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,0.12953293704711655
3938,2013-08-09,114.1154578789037,-1.0362490701672389,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,1.0362490701672389
3939,2013-08-12,114.37452375299787,0.2590658740941887,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,-0.2590658740941887
3940,2013-08-13,113.46780761987777,-0.9067161331201001,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,17473.270292140885,-6.252776074688882e-13,0.9067161331201001
3941,2013-08-14,111.78386501205554,-1.6839426078222308,-9999.9995774468,1442.620971679688,74.73270292140872,0.0,0.0021697246579606144,808.4864635467524,1.6839426078222308
3942,2013-08-15,110.87714887893544,-0.9067161331201001,-9999.9995774468,1442.620971679688,74.22455344358568,-0.5081494778230278,0.0021697246579606144,808.4864635467524,0.39856665529707236
3943,2013-08-16,110.22949861990958,-0.647650259025867,-9999.9995774468,1442.620971679688,73.86159153064098,-0.3629619129447037,0.0021697246579606144,808.4864635467524,0.28468834608116333
3944,2013-08-19,108.93416924943836,-1.295329370471232,-9999.9995774468,1442.620971679688,73.13565153502238,-0.7259399956186074,0.0021697246579606144,808.4864635467524,0.5693893748526246
3945,2013-08-20,107.25024106782581,-1.6839281816125373,-9999.9995774468,1442.620971679688,72.19192954071812,-0.9437219943042474,0.0021697246579606144,808.4864635467524,0.7402061873082899
3946,2013-08-21,105.82540761272692,-1.424833455098895,-9999.9995774468,1442.620971679688,71.39341171526692,-0.798517825451206,0.0021697246579606144,808.4864635467524,0.626315629647689
3947,2013-08-22,108.02745311631826,2.202045503591332,-9999.9995774468,1442.620971679688,72.62750162295397,1.2340899076870526,0.0021697246579606144,808.4864635467524,-0.9679555959042796
3948,2013-08-23,108.02745311631826,0.0,-9999.9995774468,1442.620971679688,72.62750162295397,0.0,0.0021697246579606144,808.4864635467524,0.0
3949,2013-08-26,105.82540761272692,-2.202045503591332,-9999.9995774468,1442.620971679688,71.39341171526692,-1.2340899076870526,0.0021697246579606144,808.4864635467524,0.9679555959042796
3950,2013-08-27,100.25552017212023,-5.569887440606691,-9999.9995774468,1442.620971679688,68.27188590383608,-3.1215258114308364,0.0021697246579606144,808.4864635467524,2.4483616291758548
