,date,benchmark_cum_return_pct,benchmark_return_change_pct,benchmark_cash,benchmark_shares,target_cum_return_pct,target_return_change_pct,target_cash,target_shares,target_performance_pct
2355,2007-04-27,501.0701255137112,0.0,-20000.000933791554,1520.207702636718,40527.646794902794,0.0,-0.0023144581355154514,77099.94287109374,0.0
2356,2007-04-30,482.119778769492,-18.95034674421927,-20000.000933791554,1520.207702636718,39566.54743405061,-961.0993608521824,-0.0023144581355154514,77099.94287109374,-942.149014107963
2357,2007-05-01,490.4991940305795,8.37941526108752,-20000.000933791554,1520.207702636718,39991.52386115494,424.97642710432615,-0.0023144581355154514,77099.94287109374,416.59701184323865
2358,2007-05-02,508.80497270888094,18.305778678301454,-20000.000933791554,1520.207702636718,40919.932846229785,928.4089850748444,-0.0023144581355154514,77099.94287109374,910.103206396543
2359,2007-05-03,518.0867376560227,9.281764947141813,-20000.000933791554,1520.207702636718,41390.67348642411,470.7406401943217,-0.0023144581355154514,77099.94287109374,461.4588752471799
2360,2007-05-04,517.1843423637375,-0.9023952922852629,-20000.000933791554,1520.207702636718,41344.90696033583,-45.766526088277715,-0.0023144581355154514,77099.94287109374,-44.86413079599245
2361,2007-05-07,515.6373942076116,-1.5469481561259713,-20000.000933791554,1520.207702636718,41266.45082946963,-78.45613086619778,-0.0023144581355154514,77099.94287109374,-76.9091827100718
2362,2007-05-08,515.6373942076116,0.0,-20000.000933791554,1520.207702636718,41266.45082946963,0.0,-0.0023144581355154514,77099.94287109374,0.0
2363,2007-05-09,515.766277416641,0.12888320902941786,-20000.000933791554,1520.207702636718,41272.98736262624,6.536533156611313,-0.0023144581355154514,77099.94287109374,6.407649947581895
2364,2007-05-10,508.93387111998754,-6.832406296653382,-20000.000933791554,1520.207702636718,40926.47015038582,-346.51721224041694,-0.0023144581355154514,77099.94287109374,-339.68480594376354
2365,2007-05-11,511.7699858121035,2.8361146921159985,-20000.000933791554,1520.207702636718,41070.30857480557,143.83842441974366,739772.6508650531,63246.165527343735,141.00230972762768
2366,2007-05-14,504.6796914807749,-7.090294331328639,-20000.000933791554,1520.207702636718,40775.32661960993,-294.9819551956409,739772.6508650531,63246.165527343735,-287.89166086431226
2367,2007-05-15,512.4145538780216,7.7348623972466335,-20000.000933791554,1520.207702636718,41097.125007198025,321.7983875880975,739772.6508650531,63246.165527343735,314.0635251908509
2368,2007-05-16,524.7902607436466,12.37570686562508,-20000.000933791554,1520.207702636718,41611.99939152302,514.8743843249974,1045125.6748925496,57618.067871093735,502.49867745937235
2369,2007-05-17,519.3759041920127,-5.4143565516339365,-20000.000933791554,1520.207702636718,41406.78746082898,-205.21193069404262,1620154.8318783722,46949.414550781235,-199.79757414240868
2370,2007-05-18,524.5324183152023,5.156514123189648,-20000.000933791554,1520.207702636718,41566.03892049925,159.2514596702756,1966250.3350473722,40568.379394531235,154.09494554708596
